Tipo,Nombre,Latitud_WGS84,Longitud_WGS84
Centro de Distribución,Centro de Distribución 1,24.774908,-107.309857
Centro de Distribución,Centro de Distribución 2,24.846399,-107.380268
Centro de Distribución,Centro de Distribución 3,24.731204,-107.468801
Centro de Distribución,Centro de Distribución 4,24.711617,-107.326765
Centro de Distribución,Centro de Distribución 5,24.820223,-107.358385
Centro de Distribución,Centro de Distribución 6,24.704117,-107.306018
Centro de Distribución,Centro de Distribución 7,24.866489,-107.457532
Centro de Distribución,Centro de Distribución 8,24.736365,-107.463319
Centro de Distribución,Centro de Distribución 9,24.760848,-107.395049
Centro de Distribución,Centro de Distribución 10,24.786389,-107.441754
Tienda,Tienda 1,24.822371,-107.472101
Tienda,Tienda 2,24.758429,-107.426728
Tienda,Tienda 3,24.791214,-107.342965
Tienda,Tienda 4,24.739935,-107.397153
Tienda,Tienda 5,24.818483,-107.49071
Tienda,Tienda 6,24.821509,-107.465895
Tienda,Tienda 7,24.71301,-107.310223
Tienda,Tienda 8,24.893126,-107.338321
Tienda,Tienda 9,24.760923,-107.480466
Tienda,Tienda 10,24.836847,-107.41197
Tienda,Tienda 11,24.724408,-107.400965
Tienda,Tienda 12,24.706878,-107.318136
Tienda,Tienda 13,24.751756,-107.367496
Tienda,Tienda 14,24.762342,-107.395986
Tienda,Tienda 15,24.809342,-107.463029
Tienda,Tienda 16,24.893917,-107.344973
Tienda,Tienda 17,24.8879,-107.321035
Tienda,Tienda 18,24.81958,-107.315625
Tienda,Tienda 19,24.717699,-107.460803
Tienda,Tienda 20,24.709045,-107.434934
Tienda,Tienda 21,24.777735,-107.44573
Tienda,Tienda 22,24.865748,-107.428649
Tienda,Tienda 23,24.756187,-107.391461
Tienda,Tienda 24,24.728185,-107.339561
Tienda,Tienda 25,24.71491,-107.302623
Tienda,Tienda 26,24.854449,-107.460257
Tienda,Tienda 27,24.701104,-107.336908
Tienda,Tienda 28,24.841371,-107.354199
Tienda,Tienda 29,24.854254,-107.485191
Tienda,Tienda 30,24.771693,-107.476826
Tienda,Tienda 31,24.872621,-107.37534
Tienda,Tienda 32,24.76618,-107.487288
Tienda,Tienda 33,24.762196,-107.434963
Tienda,Tienda 34,24.845921,-107.372489
Tienda,Tienda 35,24.877443,-107.405557
Tienda,Tienda 36,24.723919,-107.357351
Tienda,Tienda 37,24.852157,-107.387745
Tienda,Tienda 38,24.854193,-107.401241
Tienda,Tienda 39,24.804547,-107.414492
Tienda,Tienda 40,24.705084,-107.478422
Tienda,Tienda 41,24.706286,-107.372718
Tienda,Tienda 42,24.762871,-107.398286
Tienda,Tienda 43,24.881513,-107.450142
Tienda,Tienda 44,24.782077,-107.34889
Tienda,Tienda 45,24.74576,-107.484604
Tienda,Tienda 46,24.75795,-107.467756
Tienda,Tienda 47,24.88594,-107.338376
Tienda,Tienda 48,24.826681,-107.325708
Tienda,Tienda 49,24.860734,-107.462686
Tienda,Tienda 50,24.878512,-107.392132
Tienda,Tienda 51,24.861488,-107.320782
Tienda,Tienda 52,24.763601,-107.47799
Tienda,Tienda 53,24.745587,-107.414578
Tienda,Tienda 54,24.863603,-107.327854
Tienda,Tienda 55,24.70139,-107.397851
Tienda,Tienda 56,24.783482,-107.455578
Tienda,Tienda 57,24.723973,-107.432477
Tienda,Tienda 58,24.888582,-107.435359
Tienda,Tienda 59,24.803758,-107.359396
Tienda,Tienda 60,24.772726,-107.305644
Tienda,Tienda 61,24.892489,-107.449644
Tienda,Tienda 62,24.79945,-107.439824
Tienda,Tienda 63,24.756968,-107.492623
Tienda,Tienda 64,24.821913,-107.399464
Tienda,Tienda 65,24.710296,-107.444271
Tienda,Tienda 66,24.881653,-107.452088
Tienda,Tienda 67,24.728979,-107.402109
Tienda,Tienda 68,24.89713,-107.451589
Tienda,Tienda 69,24.834427,-107.347676
Tienda,Tienda 70,24.747528,-107.354357
Tienda,Tienda 71,24.773557,-107.373539
Tienda,Tienda 72,24.826706,-107.392845
Tienda,Tienda 73,24.718058,-107.33294
Tienda,Tienda 74,24.764156,-107.462696
Tienda,Tienda 75,24.708155,-107.381821
Tienda,Tienda 76,24.835513,-107.496682
Tienda,Tienda 77,24.802419,-107.454701
Tienda,Tienda 78,24.829035,-107.465127
Tienda,Tienda 79,24.838188,-107.422653
Tienda,Tienda 80,24.887346,-107.472496
Tienda,Tienda 81,24.768213,-107.477305
Tienda,Tienda 82,24.884939,-107.324532
Tienda,Tienda 83,24.751588,-107.368003
Tienda,Tienda 84,24.863444,-107.38896
Tienda,Tienda 85,24.80593,-107.45163
Tienda,Tienda 86,24.718621,-107.320557
Tienda,Tienda 87,24.880084,-107.37338
Tienda,Tienda 88,24.767806,-107.430158
Tienda,Tienda 89,24.845191,-107.320578
Tienda,Tienda 90,24.877417,-107.344025
